Category,Skills,Education
HEALTHCARE,,education center in Family Medicine Residency. Developed residential wellness program at world-renowned Cooper Clinic in Dallas
HEALTHCARE,,Education
HEALTHCARE,Java,Education
HEALTHCARE,Data Analysis,education; providing clinical improvement
HR,,Education
HR,,Education and Training
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,,education
HR,,Education
HR,,Education
HR,,Education
HR,Data Analysis,Education
HR,,Education
HR,,Education
HR,,educational & employment documents.
HR,,Education
HR,,Education
HR,,Education
HR,,Educational Background
HR,,Education
HR,Data Analysis,Education
HR,,education in
HR,Java,Education & Training of staff and workers as per the
HR,,Education
HR,Data Analysis,Education
HR,,Education
HR,,Education
HR,,education program from a few training sessions per year to a state of the art training program offering more than
HR,,Education
HR,,educational opportunities; reading professional publications; maintaining personal networks;
HR,Java,Education
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,,"education, software, and consulting services to leading manufacturing corporations"
HR,,Education and Training
HR,,Education
HR,,"educational knowledge effectively in work settings. Skilled in research, multi-tasking, time management and communication."
HR,Data Analysis,Education and Training
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,Data Analysis,Education
HR,,Education
HR,,education.
HR,,Education
HR,,Education *
HR,,"education, offering excellent"
HR,,Education and Training
HR,,Education and Training
HR,,Education
HR,,Education Instructor III 01/2009 to 11/2012
HR,Data Analysis,Education
HR,,Education
HR,,education and skills.
HR,,Education
HR,,Education and Training
HR,,Education
HR,,education teacher
HR,Data Analysis,Education
HR,,Education
HR,Data Analysis,Education
HR,,Education and Certifications
HR,,Education
HR,,Education
HR,,Education
HR,,Education
HR,,Education and Training
HR,,Education
HR,,"Education Assistant Company Name ï¼​ City , State"
HR,,Education Department
HR,,Education
HR,,Education
HR,,Education
HR,,Education & Certification Course: Attract/Retain&Sucseed - Designing recruitment strategies to align with business objectives.
HR,,education.
HR,,Education
HR,,Education
HR,,Education
HR,,"Education, SHRO Website, SHRO HRIS System and Automation of payroll processing."
HR,,Education
HR,,Education
HR,,educational assistance
HR,,Education
HR,,"education, managing staff scheduling, and coordinating and documenting treatment."
HR,,Education
HR,,Education and Training
HR,,Education
HR,,"education and materials to managers/employees including workshops, manuals, employee handbooks, and"
HR,,educational and professional goals.
HR,,Education
HR,,Education
HR,,"education, orjob skills."
HR,Java,Education
HR,,Education
HR,,Education
HR,,Education
HR,,Education and Training
HR,,"education, and experience, seeks a similar role to produce immediate growth contribution to a rewarding company."
HR,,Education
HR,,educational information.
HR,,"educational workshops, reviewing professional publications, establishing personal networks"
INFORMATION-TECHNOLOGY,Java,education programs to explain upgrades to end users.
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,"Python, Java",Education
INFORMATION-TECHNOLOGY,,"Education Computer Technician , 07/2006 to 06/2008 Company Name ï¼​ City , State"
INFORMATION-TECHNOLOGY,Java,Education and certificates Troubleshooting q CompTIA A+ certified (2012) q Advanced troubleshooting q CompTIA Net+ certification class q
INFORMATION-TECHNOLOGY,,
INFORMATION-TECHNOLOGY,,education. Excellent record of problem solving and achieving results in high-operations-tempo environments. Successful team leader
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Data Analysis,"Education Department located on the Main Campus,"
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,"Python, Java, Data Analysis","educational needs of high school students.Instructed classes concerning A+ certification, Cisco certification,"
INFORMATION-TECHNOLOGY,Java,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Python,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,educational programs and supported
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Java,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Data Analysis,Education
INFORMATION-TECHNOLOGY,,Education Program)
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,"Python, Data Analysis",education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education course and
INFORMATION-TECHNOLOGY,,education and training in
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,"education in programming, relational database management and computer technology"
INFORMATION-TECHNOLOGY,Java,educational resources.
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Educational Background
INFORMATION-TECHNOLOGY,"Python, Java",
INFORMATION-TECHNOLOGY,Python,Education
INFORMATION-TECHNOLOGY,,education.
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,education training.
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,"education I thrive to exceed technical, business, and customer"
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Data Analysis,education center.
INFORMATION-TECHNOLOGY,Python,Education
INFORMATION-TECHNOLOGY,Java,Education
INFORMATION-TECHNOLOGY,,education connections and supporting equipment
INFORMATION-TECHNOLOGY,Data Analysis,Education. Expertise includes team
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Data Analysis,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,Data Analysis,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Data Analysis,Education
INFORMATION-TECHNOLOGY,Java,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,Data Analysis,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Java,educational & public
INFORMATION-TECHNOLOGY,,Education and Certification
INFORMATION-TECHNOLOGY,,"education, medical and manufacturing environments. Recently, I have been working a great deal with Hyper-"
INFORMATION-TECHNOLOGY,,Educational Group.
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,Java,Education and Training
INFORMATION-TECHNOLOGY,,Education and Training.) Answered phones.
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Java,"education software, systems and databases."
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Data Analysis,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,Data Analysis,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,educational and
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,"education software, I used Ghost software to image"
INFORMATION-TECHNOLOGY,,education to contribute to company's
INFORMATION-TECHNOLOGY,Java,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,Java,Education
INFORMATION-TECHNOLOGY,Data Analysis,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education and Training
INFORMATION-TECHNOLOGY,,Education
INFORMATION-TECHNOLOGY,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,education programming and ensure
PUBLIC-RELATIONS,,education and retailer events.
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,"education material, including bookmarks and publications, distributed to area schools"
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,Data Analysis,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,Python,Education
PUBLIC-RELATIONS,,"educations, and troubleshoot"
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,educational programs and the museum store and
PUBLIC-RELATIONS,,education program (Oregon National Guard
PUBLIC-RELATIONS,,education and experience to excel in
PUBLIC-RELATIONS,,"education, financial, healthcare, and sports & entertainment. SKILLED"
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,"education and outreach plans and materials, including public meeting organization and facilitation, direct mail,"
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,educational materials.
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,"education administration for 7 years, predominately in advancement and public relations at both the university and community"
PUBLIC-RELATIONS,,educational experience.
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,"education and training, etc."
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,"education and scouts departments on a variety of projects including event planning,"
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education and Training
PUBLIC-RELATIONS,Data Analysis,"educational background in Economics from the University of California Irvine, seeks a career in the financial sector."
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,"Education: Conduct seminar classroom education; conduct exercises in grammar, punctuation and sentence structure."
PUBLIC-RELATIONS,Machine Learning,Education
PUBLIC-RELATIONS,,Educational Foundation by coordinating fundraising events and promoting student programs.
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,"education program organized by a pharmateutical company, SOHO Global Health. As per its name, SOHO #BetterU has a vision to"
PUBLIC-RELATIONS,,Education and Training
PUBLIC-RELATIONS,,Education and Training
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,education. Seeking opportunity to work in a collaborative environment to build professional experience.
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,Data Analysis,education and experience to a job in Sports Management. Areas of proficiency include
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,"education,"
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,educational events
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,educational leadership and customer service I am well versed in communicating
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education and Training
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,"education models, instructional"
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education and Training
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education and Training
PUBLIC-RELATIONS,,education institutions to recruit and attract skilled job seekers for the grant
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education and Training
PUBLIC-RELATIONS,,educational and research activities successful * Creating evaluation plans
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,education and sports & recreations building projects.
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Educational Tour Bus
PUBLIC-RELATIONS,,Education and Training
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,"education organizations such as: Washington STEM, WestEd and Education Pioneers"
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,education
PUBLIC-RELATIONS,,Education
PUBLIC-RELATIONS,,education provider for participating primary and
PUBLIC-RELATIONS,,"education programs, more practitioners pursing/ obtaining IREM certification and membership, and more college/university students"
PUBLIC-RELATIONS,Data Analysis,"educational materials and conduct software training for staff Manage,"
PUBLIC-RELATIONS,,Education
SALES,,Education
SALES,,"Education and Training Seminars: Wilson Learning System Sales Training, Zig Ziglar, Motivation Training, Sandler Sales Training, Dale"
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,"Machine Learning, Data Analysis",Education and Training
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education and Training
SALES,,Education and Training
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education and Training
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education and Training
SALES,,Education
SALES,,"education of the industry by attending trade shows,"
SALES,,Education
SALES,,Educational Background
SALES,,
SALES,,Education
SALES,,Education and Training
SALES,,Education and Professional Placement
SALES,,Education
SALES,,Education
SALES,,Education and Training
SALES,,Education
SALES,,Education and Training
SALES,,Education and Training
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,education Managed all day to day facility operations Responsible for payroll oversight and related approvals.
SALES,,Education and Training
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education and Training
SALES,,Education
SALES,,Education
SALES,,Educational Background
SALES,,Education
SALES,,Education
SALES,,Educational Background
SALES,Java,"educational background and the experience which I have gained in my previous position, I can effectively connect with"
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Educational Background
SALES,Data Analysis,
SALES,,education for all onsite crew members.
SALES,,Education
SALES,,"education, training, and certification of new and experienced employees"
SALES,,Education
SALES,Data Analysis,Education and Training
SALES,,Education
SALES,,Education
SALES,,Education and Training
SALES,,Education and Training
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education and Training
SALES,,Education
SALES,,Education and Training
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education and Training
SALES,,educational products at seminars and special events.
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,education opportunities for all staff
SALES,,Education
SALES,,Education and Training
SALES,,Educational and
SALES,,education and experience will set me apart from the rest. Many would describe my character
SALES,,Education and Training
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,Education
SALES,,"Education Assistance Program for four years. I also enjoy the outdoors, spending time with family and friends."
SALES,,Education
SALES,,Education and Training
SALES,,Education
SALES,,Education
SALES,,Education and Training
SALES,,Education and Training
SALES,,Education
SALES,,Education
SALES,,"education, recruiting, or sales, understanding that I am existing within/leading a team allows me to clearly understand the task at"
SALES,,Education
SALES,,Education
SALES,,Education and Training
SALES,,Education
SALES,,Education and Training
SALES,,Education and Training
TEACHER,,education teachers while executing modifications in student IEP and 504 plans.
TEACHER,,educational development objectives.
TEACHER,,Education
TEACHER,,education director to provide and maintain a positive and appropriate educational program that meets the
TEACHER,,Education
TEACHER,,educational priorities and issues.
TEACHER,,"Education Plan IEP meetings with administrators, faculty, parents, and other parties involved to"
TEACHER,,"education on Psychology and pursuing my teaching certification,ha been the best professional accomplishment I have achieved. The"
TEACHER,,Education
TEACHER,,educational equity.Â
TEACHER,,Education professional driven to create an environment that promotes hands-on learning for children at all stages of the learning process.
TEACHER,,Education
TEACHER,,"Education Tutor | Company Name | City , State"
TEACHER,,Education and Training
TEACHER,,Education
TEACHER,,Education and Training
TEACHER,,educational strategies to design lesson plans and instruct alignment; students at a variety of
TEACHER,,Education Agency
TEACHER,,educational
TEACHER,,"educational assessments, similar to report cards, to each parent."
TEACHER,,education teachers to modify curricula for special education students according to Individual Education
TEACHER,,Education endorsement
TEACHER,,education professional driven to inspire students to achieve personal and academic success.
TEACHER,,education students.
TEACHER,,Education Summer School; James Irvin Education Center; Housed at Wesley Chapel High School.
TEACHER,,education. Passionate about child development and
TEACHER,,"education students, collaboratively teaching with special"
TEACHER,,Education Service Award in 2010
TEACHER,,education requirements and behavioral modification practices. Empathetic professional who is accommodating to the development of lesson plans.
TEACHER,,educational philosophy and goals of our district as related to TEKS education requirements.
TEACHER,,Education
TEACHER,,Education
TEACHER,,education specialist for three years.
TEACHER,,education principles while complying with IEP and ARD goals.
TEACHER,,Education Program goals.
TEACHER,,educational issues.
TEACHER,,Educational Outcomes:
TEACHER,,"Education Coordinator position with a company that will allow me to fully manage curriculum development, coordinate on the job"
TEACHER,,educational experience.
TEACHER,,education curriculum for special-needs students based upon a variety of instructional techniques and technologies.
TEACHER,,Education
TEACHER,,"educational, office, and customer service environments. Degree in social work and TESOL certified, teaching English to speakers of other"
TEACHER,,"education, work in both civilIan and military experience,"
TEACHER,,Education(AAS OF ECE) certification. Proficient in: Weekly Educational Project
TEACHER,,educational
TEACHER,,education and well being.
TEACHER,,"educational, or corporate environment."
TEACHER,,education  to  food
TEACHER,,Education
TEACHER,,education and grasp of materials.
TEACHER,,educational
TEACHER,,Education and Training
TEACHER,,Education Teacher with excellent communication skills demonstrated by 10 years of teaching experience. Skilled special
TEACHER,,educational process.
TEACHER,,Education
TEACHER,,Education and Training
TEACHER,,Education and Training
TEACHER,,"education, with strong emphasis in children's development. Consistently exceed teaching"
TEACHER,Data Analysis,EDUCATION PROFESSIONAL SEEKING DIRECTOR POSITION Passionate educator who strongly believes
TEACHER,,"Education Teacher with proven skills in classroom management, behavior modification and individualized"
TEACHER,,Education
TEACHER,,Education
TEACHER,,educational arena
TEACHER,,Education
TEACHER,,"Education Teacher Company Name ï¼​ City , State"
TEACHER,,Education
TEACHER,,Education
TEACHER,,"educational needs of culturally, racially, and socio-"
TEACHER,,education in Broward County.Â
TEACHER,,educational assessments to show
TEACHER,,Education from Kansas State University and Sterling College. (1999) I
TEACHER,,Education
TEACHER,,Education
TEACHER,,Education endorsement
TEACHER,,Education
TEACHER,,"education, administering injections (IM, ID,"
TEACHER,,Education
TEACHER,,Education
TEACHER,Data Analysis,Education
TEACHER,,educational goals.
TEACHER,,educational issues.Creative preschool teacher who supports all learning styles. Implements the
TEACHER,,Education
TEACHER,,Education
TEACHER,,education and reinforce core concepts.
TEACHER,,"Educational professional accomplished in organizing teacher curricula, creating full year course pacing guides, creating and implementing engaging"
TEACHER,,education and ESL teachers to modify
TEACHER,,Education and Training
TEACHER,,educational progress with individual charts and files.
TEACHER,,Education Program) and Triennial (Eligibility) meetings.
TEACHER,,educational setting. Contributes to the success of
TEACHER,,Education.
TEACHER,,Education and Training
TEACHER,,Education and Training
TEACHER,,Education/Career goals of obtaining my BA in Psychology in order to demonstrate my passion working with
TEACHER,,education students in both a general education
TEACHER,,"education professional, with a background in instructional design, seeking opportunities to develop materials, activities, and tools that"
TEACHER,,Education
TEACHER,,Education
TEACHER,,educational software and the Internet.
TEACHER,,Education
TEACHER,,"education professional with diverse experience in planning and implementing various activities for promoting physical, social,"
TEACHER,,Education and Training
